Player Name,Position,Team,Year Born,Minutes,Ninty Minutes,Goals,Assists,xG,npxG,xA,SoT Percentage,Shots,Shots On Target,Key Passes,Final Third Passes,Progressive Passes,Tackles,Tackles Won,Dribbled Past,Pressures,Pressures Success,Blocks,Interceptions,Clearances,Touches Penalty Area,Dribbles Success,Dribbles,Carries Progressive,Carries Final Third,Dispossessed,Receiving Progressive,Fouls Committed,Fouls Drawn,Recoveries,Aerial Duels Won,Aerial Duels Lost,Aerial Duels Won Percent,Aerial Duels Total
donny van de beek,MF,Manchester Utd,1997,75.0,0.8,1.2,0.0,0.88,0.88,0.58,50.0,2.9999999999999996,1.4999999999999998,3.75,2.5,3.75,6.25,3.75,0.0,20.0,7.5,2.5,2.5,2.5,5.0,3.75,5.0,2.5,0.0,5.0,6.25,5.0,2.5,13.75,3.75,3.75,50.0,7.5
donny van de beek,MF,Everton,1997,429.0,4.8,0.0,0.0,0.03,0.03,0.01,0.0,0.175,0.0,0.4166666666666667,3.125,2.916666666666667,2.7083333333333335,1.4583333333333335,1.4583333333333335,18.333333333333336,4.791666666666667,1.4583333333333335,1.875,1.0416666666666667,1.4583333333333335,0.8333333333333334,1.875,2.5,0.4166666666666667,1.4583333333333335,1.25,2.0833333333333335,0.20833333333333334,12.5,1.25,0.625,66.7,1.875
asmir begoviÄ,GK,Everton,1987,180.0,2.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.0,0.0,,0.0
saÃ¯d benrahma,"FW,MF",West Ham,1995,2168.0,24.1,0.33,0.25,0.21,0.21,0.13,34.9,0.1087136929460581,0.03775933609958506,1.2863070539419086,1.3692946058091287,2.5311203319502074,1.4522821576763485,0.954356846473029,0.9128630705394191,15.643153526970954,3.900414937759336,0.9128630705394191,0.49792531120331945,0.2904564315352697,4.356846473029045,1.4107883817427385,3.3609958506224062,5.352697095435684,1.2448132780082988,1.9917012448132778,7.095435684647303,0.45643153526970953,0.9128630705394191,6.929460580912862,0.6224066390041494,0.9128630705394191,40.5,1.5352697095435683
rodrigo bentancur,MF,Tottenham,1997,1289.0,14.3,0.0,0.14,0.06,0.06,0.08,14.3,0.06853146853146852,0.009790209790209791,0.8391608391608392,5.454545454545454,4.475524475524475,2.4475524475524475,1.048951048951049,1.3986013986013985,21.888111888111887,5.104895104895105,2.167832167832168,1.1188811188811187,1.958041958041958,1.048951048951049,0.9090909090909091,1.2587412587412588,5.244755244755244,1.3286713286713285,1.048951048951049,1.5384615384615383,2.027972027972028,1.2587412587412588,9.09090909090909,1.7482517482517481,0.979020979020979,64.1,2.727272727272727
christian benteke,FW,Crystal Palace,1990,1145.0,12.7,0.31,0.08,0.42,0.42,0.09,33.3,0.24173228346456693,0.08031496062992127,0.8661417322834646,0.8661417322834646,1.3385826771653544,0.6299212598425197,0.15748031496062992,0.31496062992125984,9.448818897637796,2.5196850393700787,0.6299212598425197,0.07874015748031496,2.362204724409449,7.0078740157480315,0.7086614173228347,1.4960629921259843,2.204724409448819,0.5511811023622047,1.1023622047244095,8.188976377952756,1.3385826771653544,1.3385826771653544,3.5433070866141736,6.929133858267717,4.803149606299213,59.1,11.73228346456693
jÃ³hann berg guÃ°mundsson,MF,Burnley,1990,1102.0,12.2,0.0,0.08,0.14,0.14,0.03,21.1,0.12704918032786885,0.027049180327868856,0.49180327868852464,0.49180327868852464,1.0655737704918034,1.557377049180328,0.7377049180327869,0.9016393442622951,13.934426229508198,3.6065573770491803,1.4754098360655739,1.3934426229508197,1.7213114754098362,2.2131147540983607,1.1475409836065575,1.8032786885245902,3.0327868852459017,1.3114754098360657,1.4754098360655739,4.754098360655738,1.3934426229508197,1.3114754098360657,7.868852459016394,1.7213114754098362,1.3114754098360657,56.8,3.032786885245902
steven bergwijn,"FW,MF",Tottenham,1997,547.0,6.1,0.49,0.16,0.5,0.5,0.1,52.6,0.5131147540983607,0.27049180327868855,1.1475409836065575,1.3114754098360657,2.459016393442623,0.819672131147541,0.6557377049180328,0.819672131147541,13.442622950819674,2.459016393442623,0.6557377049180328,0.6557377049180328,1.4754098360655739,7.049180327868853,1.639344262295082,2.9508196721311477,5.901639344262295,2.9508196721311477,3.114754098360656,10.163934426229508,1.3114754098360657,1.9672131147540985,4.754098360655738,0.1639344262295082,0.9836065573770493,14.3,1.1475409836065575
ryan bertrand,DF,Leicester City,1989,337.0,3.7,0.0,0.0,0.0,0.0,0.08,,0.0,0.0,0.5405405405405405,2.972972972972973,1.8918918918918919,2.4324324324324325,1.081081081081081,0.27027027027027023,20.27027027027027,6.756756756756756,2.972972972972973,0.8108108108108107,1.8918918918918919,1.081081081081081,0.0,0.27027027027027023,2.972972972972973,0.8108108108108107,1.3513513513513513,0.5405405405405405,1.3513513513513513,0.27027027027027023,4.594594594594595,0.8108108108108107,1.3513513513513513,37.5,2.1621621621621623
mads bidstrup,MF,Brentford,2001,41.0,0.5,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,8.0,4.0,4.0,38.0,16.0,2.0,2.0,4.0,0.0,0.0,2.0,2.0,2.0,4.0,2.0,2.0,0.0,12.0,0.0,0.0,,0.0
yves bissouma,MF,Brighton,1996,2066.0,23.0,0.04,0.09,0.04,0.04,0.03,23.8,0.03956521739130435,0.009565217391304347,0.34782608695652173,2.9130434782608696,2.1739130434782608,3.1739130434782608,2.1739130434782608,0.6521739130434783,17.52173913043478,6.260869565217392,1.8695652173913044,2.391304347826087,2.1739130434782608,0.6956521739130435,1.3478260869565217,1.9130434782608696,4.3478260869565215,1.7826086956521738,1.173913043478261,0.6521739130434783,1.4782608695652173,1.2608695652173914,10.73913043478261,0.9130434782608695,0.7391304347826086,55.3,1.652173913043478
